1972,Nick Drake,Pink Moon (von Speckis),https://open.spotify.com/track/4KROoGIaPaR1pBHPnR3bwC
1993,Mazzy Star,Fade Into You (von Speckis),https://open.spotify.com/track/1LzNfuep1bnAUR9skqdHCK
1998,Air,La femme d'argent (von Speckis),https://open.spotify.com/track/3ZzhV6JIDKWvWR7wiKWD0C
1999,Le Tigre,Deceptacon (von Speckis),https://open.spotify.com/track/5773KSWFzg9kCc8yazjbSt
1999,Mr. Oizo,Flat Beat (von Speckis),https://open.spotify.com/track/7GP1ZmPGH1puBliT9S6Fi
2000,Cat Power,Sea of Love (von Speckis),https://open.spotify.com/track/33kKcOJoyNduHwXhEnga
2000,Eels,I Like Birds (von Speckis),https://open.spotify.com/track/6N0iywQuqCluRkE6F7WqGg
2002,The Coral,Dreaming of You (von Speckis),https://open.spotify.com/track/6ebxt3Iylxe0GcEuUGlIvb
2003,Blur,Good Song (von Speckis),https://open.spotify.com/track/75WFyYrXPMAWyN6jOBB7IC
2003,José González,Heartbeats (von Speckis),https://open.spotify.com/track/3jQyadhLTxpxadQlkFh2b8
2003,Mark Farina,Dream Machine (von Speckis),https://open.spotify.com/track/2VAMRYzi5TM5GChU6pTtIE
2003,The Knife,Pass This On (von Speckis),https://open.spotify.com/track/0aWhxzFrP2Yyz3CetJe0x
2003,Toktok & Soffy O,Day of Mine (Ludicrous Idiots) (von Speckis),https://open.spotify.com/track/5xUXfYkxT7sPitoboN2Z5U
2005,CocoRosie,Noah's Ark (von Speckis),https://open.spotify.com/track/7Lr8PrBSYumkBFnVdwaAzz
2005,Robyn,Konichiwa Bitches (von Speckis),https://open.spotify.com/track/1WaUWOfNFlE9u4yc52MCCI
2006,Beach House,Master of None (von Speckis),https://open.spotify.com/track/3stWWPN41byqp8loPdy92u
2006,Beirut,Postcards from Italy (von Speckis),https://open.spotify.com/track/7H0UxIN751StFi2tznmHlg
2006,Cat Power,The Greatest (von Speckis),https://open.spotify.com/track/0OVXLPJPDCFn1IV6bFxY1N
